0.00,2536
0.50,2540
1.00,2540
1.50,2540
2.00,2540
2.50,2539
3.00,2798
3.50,3272
4.00,3456
4.50,3347
5.00,3123
5.50,2863
6.00,2571
6.50,2332
7.00,2249
7.50,2017
8.00,1912
8.50,1783
9.00,1698
9.50,1613
10.00,1522
10.50,1457
11.00,1371
11.50,1328
12.00,1285
12.50,1220
13.00,1177
13.50,1132
14.00,1111
14.50,1067
15.00,1024
15.50,1001
16.00,965
16.50,935
17.00,913
17.50,872
18.00,869
18.50,835
19.00,798
19.50,784
20.00,774
20.50,751
21.00,729
21.50,707
22.00,685
22.50,663
23.00,640
23.50,641
24.00,640
