0.00, 1465
0.50, 1761
1.00, 1706
1.50, 2495
2.00, 3070
2.50, 3348
3.00, 3471
3.50, 3290
4.00, 3057
4.50, 2759
5.00, 2536
5.50, 2352
6.00, 2182
6.50, 2037
7.00, 1920
7.50, 1803
8.00, 1698
8.50, 1591
9.00, 1499
9.50, 1414
10.00, 1370
10.50, 1284
11.00, 1241
11.50, 1199
12.00, 1155
12.50, 1111
13.00, 1066
13.50, 1044
14.00, 1000
14.50, 962
15.00, 935
15.50, 913
16.00, 868
16.50, 840
17.00, 818
17.50, 796
18.00, 773
18.50, 751
19.00, 728
19.50, 706
20.00, 706
20.50, 684
21.00, 663
21.50, 663
22.00, 640
22.50, 640
23.00, 617
23.50, 603
24.00, 595
