0.00,2182
0.50,2182
1.00,2182
1.50,2182
2.00,2182
2.50,2182
3.00,2539
3.50,2774
4.00,3156
4.50,3468
5.00,3402
5.50,3177
6.00,2839
6.50,2612
7.00,2455
7.50,2271
8.00,2078
8.50,1933
9.00,1832
9.50,1719
10.00,1633
10.50,1557
11.00,1457
11.50,1392
12.00,1328
12.50,1263
13.00,1220
13.50,1200
14.00,1155
14.50,1111
15.00,1067
15.50,1045
16.00,1001
16.50,979
17.00,935
17.50,913
18.00,890
18.50,868
19.00,818
19.50,798
20.00,796
20.50,774
21.00,752
21.50,751
22.00,707
22.50,707
23.00,685
23.50,595
24.00,663
